$0;1554272639340770710;1.13;KIEKER;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1554272639343136033;public com.shopping.dao.EvaluationDaoImplement.<init>();<no-session-id>;8102397942104588289;1554272639342846799;1554272639342862690;icedsoul-PC;0;0
$1;1554272640676224676;public com.shopping.entity.Product.<init>();<no-session-id>;8102397942104588290;1554272640676206780;1554272640676218789;icedsoul-PC;0;0
$1;1554272640677121690;public int com.shopping.entity.Product.getId();<no-session-id>;8102397942104588291;1554272640676385239;1554272640677111530;icedsoul-PC;0;0
$1;1554272640744115636;public com.shopping.entity.User.<init>();<no-session-id>;8102397942104588292;1554272640744101877;1554272640744110939;icedsoul-PC;0;0
$1;1554272640744483559;public int com.shopping.entity.User.getId();<no-session-id>;8102397942104588293;1554272640744439283;1554272640744479893;icedsoul-PC;0;0
$1;1554272640775064200;public com.shopping.entity.UserDetail.<init>();<no-session-id>;8102397942104588294;1554272640775040787;1554272640775054719;icedsoul-PC;0;0
$1;1554272640775473285;public int com.shopping.entity.UserDetail.getId();<no-session-id>;8102397942104588295;1554272640775446691;1554272640775469126;icedsoul-PC;0;0
$1;1554272641060882558;public com.shopping.dao.ProductDaoImplement.<init>();<no-session-id>;8102397942104588296;1554272641060868259;1554272641060877646;icedsoul-PC;0;0
$1;1554272641069956259;public com.shopping.dao.ShoppingCarDaoImplement.<init>();<no-session-id>;8102397942104588297;1554272641069941917;1554272641069951776;icedsoul-PC;0;0
$1;1554272641078541243;public com.shopping.dao.ShoppingRecordDaoImplement.<init>();<no-session-id>;8102397942104588298;1554272641078527813;1554272641078537221;icedsoul-PC;0;0
$1;1554272641086134306;public com.shopping.dao.UserDaoImplement.<init>();<no-session-id>;8102397942104588299;1554272641086123996;1554272641086130863;icedsoul-PC;0;0
$1;1554272641090861248;public com.shopping.dao.UserDetailDaoImplement.<init>();<no-session-id>;8102397942104588300;1554272641090846977;1554272641090856411;icedsoul-PC;0;0
$1;1554272641096183031;public com.shopping.service.EvaluationServiceImplement.<init>();<no-session-id>;8102397942104588301;1554272641096168952;1554272641096178538;icedsoul-PC;0;0
$1;1554272641168017623;public com.shopping.service.ProductServiceImplement.<init>();<no-session-id>;8102397942104588302;1554272641167869174;1554272641167982650;icedsoul-PC;0;0
