$0;1554281870512095896;1.13;KIEKER;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1554281887776248743;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887776232607;1554281887776245339;icedsoul-PC;21;3
$1;1554281887776476073;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887776459788;1554281887776472536;icedsoul-PC;22;3
$1;1554281887776694564;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887776675944;1554281887776690960;icedsoul-PC;23;3
$1;1554281887776907988;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887776891019;1554281887776904808;icedsoul-PC;24;3
$1;1554281887779023496;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887779014683;1554281887779018768;icedsoul-PC;25;3
$1;1554281887779243909;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887779238745;1554281887779240733;icedsoul-PC;26;3
$1;1554281887779342622;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887779338605;1554281887779340405;icedsoul-PC;27;3
$1;1554281887779438180;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887779434553;1554281887779436093;icedsoul-PC;28;3
$1;1554281887779541437;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887779536861;1554281887779539309;icedsoul-PC;29;3
$1;1554281887779626280;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887779622241;1554281887779624097;icedsoul-PC;30;3
$1;1554281887779825139;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887779820650;1554281887779822810;icedsoul-PC;31;3
$1;1554281887779937932;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887779917975;1554281887779928754;icedsoul-PC;32;3
$1;1554281887780289706;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887780270162;1554281887780286639;icedsoul-PC;33;3
$1;1554281887780458258;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887780454263;1554281887780455886;icedsoul-PC;34;3
$1;1554281887780551073;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887780546203;1554281887780548617;icedsoul-PC;35;3
$1;1554281887780738596;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887780734568;1554281887780736272;icedsoul-PC;36;3
$1;1554281887780940368;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887780936154;1554281887780938199;icedsoul-PC;37;3
$1;1554281887781049313;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887781045545;1554281887781047263;icedsoul-PC;38;3
$1;1554281887781145235;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887781141709;1554281887781143190;icedsoul-PC;39;3
$1;1554281887781230514;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887781224890;1554281887781226555;icedsoul-PC;40;3
$1;1554281887781316291;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887781312438;1554281887781314195;icedsoul-PC;41;3
$1;1554281887781399901;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887781395988;1554281887781397883;icedsoul-PC;42;3
$1;1554281887781574462;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887781570106;1554281887781572150;icedsoul-PC;43;3
$1;1554281887781695528;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887781691869;1554281887781693412;icedsoul-PC;44;3
$1;1554281887781787920;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887781784277;1554281887781785817;icedsoul-PC;45;3
$1;1554281887781885682;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887781881656;1554281887781883204;icedsoul-PC;46;3
$1;1554281887781991193;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887781987340;1554281887781989069;icedsoul-PC;47;3
$1;1554281887782089309;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887782084990;1554281887782086971;icedsoul-PC;48;3
$1;1554281887782299331;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887782289626;1554281887782292211;icedsoul-PC;49;3
$1;1554281887782413464;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887782408653;1554281887782410833;icedsoul-PC;50;3
$1;1554281887783420153;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887783411394;1554281887783414565;icedsoul-PC;51;3
$1;1554281887783691533;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887783686260;1554281887783688427;icedsoul-PC;52;3
$1;1554281887783717890;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887783713507;1554281887783715997;icedsoul-PC;53;3
$1;1554281887783732501;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887783729278;1554281887783730882;icedsoul-PC;54;3
$1;1554281887786890237;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887783847595;1554281887786880179;icedsoul-PC;55;3
$1;1554281887786997542;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887786989775;1554281887786993074;icedsoul-PC;56;3
$1;1554281887787026642;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887787022513;1554281887787024221;icedsoul-PC;57;3
$1;1554281887787044679;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887787041192;1554281887787042905;icedsoul-PC;58;3
$1;1554281887787062832;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887787058797;1554281887787061129;icedsoul-PC;59;3
$1;1554281887787089971;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887787078605;1554281887787088245;icedsoul-PC;60;3
$1;1554281887787207071;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887787202708;1554281887787204874;icedsoul-PC;61;3
$1;1554281887787225414;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887787222393;1554281887787223623;icedsoul-PC;62;3
$1;1554281887787242429;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887787238784;1554281887787239972;icedsoul-PC;63;3
$1;1554281887787255294;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887787252458;1554281887787253572;icedsoul-PC;64;3
$1;1554281887787269714;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887787266511;1554281887787268037;icedsoul-PC;65;3
$1;1554281887787282886;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887787279820;1554281887787281241;icedsoul-PC;66;3
$1;1554281887791846615;public java.util.List com.shopping.dao.ProductDaoImplement.getAllProduct();<no-session-id>;5353794794525032472;1554281887267433638;1554281887791837974;icedsoul-PC;2;2
$1;1554281887792531378;public java.util.List com.shopping.service.ProductServiceImplement.getAllProduct();<no-session-id>;5353794794525032472;1554281887267389130;1554281887792523403;icedsoul-PC;1;1
$1;1554281888268656543;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888268551908;1554281888268631157;icedsoul-PC;67;1
$1;1554281888270626816;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888270496284;1554281888270593404;icedsoul-PC;68;1
$1;1554281888270919244;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888270912880;1554281888270916406;icedsoul-PC;69;1
$1;1554281888271060013;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271045448;1554281888271056383;icedsoul-PC;70;1
$1;1554281888271210162;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271197924;1554281888271206803;icedsoul-PC;71;1
$1;1554281888271310543;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271296785;1554281888271308279;icedsoul-PC;72;1
$1;1554281888271390167;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271374437;1554281888271382889;icedsoul-PC;73;1
$1;1554281888271443334;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271439871;1554281888271441395;icedsoul-PC;74;1
$1;1554281888271458204;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271455377;1554281888271456554;icedsoul-PC;75;1
$1;1554281888271472189;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271469125;1554281888271470542;icedsoul-PC;76;1
$1;1554281888271484307;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271481739;1554281888271482839;icedsoul-PC;77;1
$1;1554281888271496363;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271493555;1554281888271494692;icedsoul-PC;78;1
$1;1554281888271507483;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271504754;1554281888271505914;icedsoul-PC;79;1
$1;1554281888271518673;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271515975;1554281888271517150;icedsoul-PC;80;1
$1;1554281888271539623;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271536707;1554281888271537910;icedsoul-PC;81;1
$1;1554281888271552330;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271549629;1554281888271550688;icedsoul-PC;82;1
$1;1554281888271564650;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271562005;1554281888271563189;icedsoul-PC;83;1
$1;1554281888271574879;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271572460;1554281888271573335;icedsoul-PC;84;1
$1;1554281888271585888;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271583556;1554281888271584441;icedsoul-PC;85;1
$1;1554281888271596559;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271594042;1554281888271595121;icedsoul-PC;86;1
$1;1554281888271607481;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271604994;1554281888271605921;icedsoul-PC;87;1
$1;1554281888271627500;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271624581;1554281888271625835;icedsoul-PC;88;1
$1;1554281888271640166;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271637462;1554281888271638616;icedsoul-PC;89;1
$1;1554281888271657450;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271654684;1554281888271655912;icedsoul-PC;90;1
$1;1554281888271668990;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271666539;1554281888271667458;icedsoul-PC;91;1
$1;1554281888271680290;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271677812;1554281888271678841;icedsoul-PC;92;1
$1;1554281888271693275;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271690712;1554281888271691836;icedsoul-PC;93;1
$1;1554281888271704150;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271701705;1554281888271702710;icedsoul-PC;94;1
$1;1554281888271724306;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271721067;1554281888271722011;icedsoul-PC;95;1
$1;1554281888271737205;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271733029;1554281888271735176;icedsoul-PC;96;1
$1;1554281888271756033;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271753667;1554281888271754592;icedsoul-PC;97;1
$1;1554281888271767717;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271764271;1554281888271765027;icedsoul-PC;98;1
$1;1554281888271781699;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271776129;1554281888271776875;icedsoul-PC;99;1
$1;1554281888271791518;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271789380;1554281888271790214;icedsoul-PC;100;1
$1;1554281888271801551;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271798537;1554281888271799422;icedsoul-PC;101;1
$1;1554281888271821735;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271819054;1554281888271820140;icedsoul-PC;102;1
$1;1554281888271834381;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271830529;1554281888271831392;icedsoul-PC;103;1
$1;1554281888271864013;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271858575;1554281888271861698;icedsoul-PC;104;1
$1;1554281888271885190;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271881404;1554281888271882441;icedsoul-PC;105;1
$1;1554281888271896530;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271894289;1554281888271895078;icedsoul-PC;106;1
$1;1554281888271919447;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888271904660;1554281888271917770;icedsoul-PC;107;1
$1;1554281888271930948;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888271928592;1554281888271929596;icedsoul-PC;108;1
$1;1554281888271950731;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888271948402;1554281888271949429;icedsoul-PC;109;1
$1;1554281888271962114;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888271959979;1554281888271960761;icedsoul-PC;110;1
$1;1554281888271974349;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888271971957;1554281888271972892;icedsoul-PC;111;1
$1;1554281888271984439;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888271982363;1554281888271983083;icedsoul-PC;112;1
$1;1554281888271995140;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888271992901;1554281888271993680;icedsoul-PC;113;1
$1;1554281888272005334;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888272002977;1554281888272003986;icedsoul-PC;114;1
$1;1554281888272016350;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888272013890;1554281888272014882;icedsoul-PC;115;1
$1;1554281888272036492;public int com.shopping.entity.Product.getCounts();<no-session-id>;5353794794525032472;1554281888272033848;1554281888272034946;icedsoul-PC;116;1
$1;1554281888272047611;public java.lang.String com.shopping.entity.Product.getDescription();<no-session-id>;5353794794525032472;1554281888272045349;1554281888272046253;icedsoul-PC;117;1
$1;1554281888272059170;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032472;1554281888272056881;1554281888272057814;icedsoul-PC;118;1
$1;1554281888272069759;public java.lang.String com.shopping.entity.Product.getKeyWord();<no-session-id>;5353794794525032472;1554281888272067327;1554281888272068201;icedsoul-PC;119;1
$1;1554281888272080347;public java.lang.String com.shopping.entity.Product.getName();<no-session-id>;5353794794525032472;1554281888272078005;1554281888272078824;icedsoul-PC;120;1
$1;1554281888272090763;public int com.shopping.entity.Product.getPrice();<no-session-id>;5353794794525032472;1554281888272088341;1554281888272089298;icedsoul-PC;121;1
$1;1554281888272101749;public int com.shopping.entity.Product.getType();<no-session-id>;5353794794525032472;1554281888272099198;1554281888272100372;icedsoul-PC;122;1
$1;1554281888272166991;public java.util.Map com.shopping.controller.ProductController.getAllProducts();<no-session-id>;5353794794525032472;1554281887158875950;1554281888272164765;icedsoul-PC;0;0
