$0;1554281936507289677;1.13;KIEKER;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1554281936510118856;public com.shopping.dao.EvaluationDaoImplement.<init>();<no-session-id>;2722144499768754177;1554281936509856009;1554281936509881590;icedsoul-PC;0;0
$1;1554281938054216585;public com.shopping.entity.Product.<init>();<no-session-id>;2722144499768754178;1554281938054201476;1554281938054212350;icedsoul-PC;0;0
$1;1554281938055233719;public int com.shopping.entity.Product.getId();<no-session-id>;2722144499768754179;1554281938054363097;1554281938055225729;icedsoul-PC;0;0
$1;1554281938103051101;public com.shopping.entity.User.<init>();<no-session-id>;2722144499768754180;1554281938103034875;1554281938103046046;icedsoul-PC;0;0
$1;1554281938103197639;public int com.shopping.entity.User.getId();<no-session-id>;2722144499768754181;1554281938103183535;1554281938103195207;icedsoul-PC;0;0
$1;1554281938135399110;public com.shopping.entity.UserDetail.<init>();<no-session-id>;2722144499768754182;1554281938135385123;1554281938135394727;icedsoul-PC;0;0
$1;1554281938135501095;public int com.shopping.entity.UserDetail.getId();<no-session-id>;2722144499768754183;1554281938135486223;1554281938135498463;icedsoul-PC;0;0
$1;1554281938453333411;public com.shopping.dao.ProductDaoImplement.<init>();<no-session-id>;2722144499768754184;1554281938453318626;1554281938453328520;icedsoul-PC;0;0
$1;1554281938463223306;public com.shopping.dao.ShoppingCarDaoImplement.<init>();<no-session-id>;2722144499768754185;1554281938463207819;1554281938463218393;icedsoul-PC;0;0
$1;1554281938472584006;public com.shopping.dao.ShoppingRecordDaoImplement.<init>();<no-session-id>;2722144499768754186;1554281938472568863;1554281938472579511;icedsoul-PC;0;0
$1;1554281938481264333;public com.shopping.dao.UserDaoImplement.<init>();<no-session-id>;2722144499768754187;1554281938481249467;1554281938481260356;icedsoul-PC;0;0
$1;1554281938487202123;public com.shopping.dao.UserDetailDaoImplement.<init>();<no-session-id>;2722144499768754188;1554281938487184753;1554281938487196870;icedsoul-PC;0;0
